name,mbti,gender,category,subcategory,views_30d
Andrew Huberman,ESTJ,unknown,Science,Psychology & Neuroscience,-1
Carl Rogers,INFP,unknown,Science,Psychology & Neuroscience,-1
Dario Nardi,INTJ,unknown,Science,Psychology & Neuroscience,-1
Alfred Adler,ENFJ,unknown,Science,Psychology & Neuroscience,-1
Irvin D. Yalom,INFJ,unknown,Science,Psychology & Neuroscience,-1
Erik Erikson,INFP,unknown,Science,Psychology & Neuroscience,-1
Richard Wiseman,ENFP,unknown,Science,Psychology & Neuroscience,-1
Wilhelm Maximilian Wundt,INTP,unknown,Science,Psychology & Neuroscience,-1
Amy Cuddy,INTP,unknown,Science,Psychology & Neuroscience,-1
Esther Perel,ENTJ,unknown,Science,Psychology & Neuroscience,-1
Pedro Calabrez (NeuroVox),INTP,unknown,Science,Psychology & Neuroscience,-1
James H. Fallon,ENTP,unknown,Science,Psychology & Neuroscience,-1
Gad Saad,ENTP,unknown,Science,Psychology & Neuroscience,-1
Ebrahim Elfiky,ENFP,unknown,Science,Psychology & Neuroscience,-1
Nise da Silveira,INFJ,unknown,Science,Psychology & Neuroscience,-1
Alessandro Meluzzi,ESTJ,unknown,Science,Psychology & Neuroscience,-1
Aaron Beck,INTJ,unknown,Science,Psychology & Neuroscience,-1
Albert Ellis,ENTP,unknown,Science,Psychology & Neuroscience,-1
António Damásio,INTP,unknown,Science,Psychology & Neuroscience,-1
Christian Dunker,INTP,unknown,Science,Psychology & Neuroscience,-1
Josef Breuer,INTP,unknown,Science,Psychology & Neuroscience,-1
Karen Horney,ISTP,unknown,Science,Psychology & Neuroscience,-1
Dr. David Spiegel,ENTP,unknown,Science,Psychology & Neuroscience,-1
John C. Lilly,INTP,unknown,Science,Psychology & Neuroscience,-1
Cesare Lombroso,ENTP,unknown,Science,Psychology & Neuroscience,-1
Hans Eysenck,ENTJ,unknown,Science,Psychology & Neuroscience,-1
Franz Brentano,INTJ,unknown,Science,Psychology & Neuroscience,-1
Douglas Hofstadter,ENTP,unknown,Science,Psychology & Neuroscience,-1
J.H. van der Hoop,INTP,unknown,Science,Psychology & Neuroscience,-1
Sabina Spielrein,ENFP,unknown,Science,Psychology & Neuroscience,-1
Augusto Cury,INFP,unknown,Science,Psychology & Neuroscience,-1
Ken Wilber,INFJ,unknown,Science,Psychology & Neuroscience,-1
Harry Harlow,INTP,unknown,Science,Psychology & Neuroscience,-1
Joe Navarro,ISTJ,unknown,Science,Psychology & Neuroscience,-1
Joe Dispenza,INFJ,unknown,Science,Psychology & Neuroscience,-1
Anna Freud,INTP,unknown,Science,Psychology & Neuroscience,-1
Doğan Cüceloğlu,INFP,unknown,Science,Psychology & Neuroscience,-1
Linda Berens,INTP,unknown,Science,Psychology & Neuroscience,-1
Farhang Holakouee,ENTJ,unknown,Science,Psychology & Neuroscience,-1
Edward Bernays,INTJ,unknown,Science,Psychology & Neuroscience,-1
Spartak Subbota/Спартак Суббота,INTJ,unknown,Science,Psychology & Neuroscience,-1
Gustave Le Bon,INTJ,unknown,Science,Psychology & Neuroscience,-1
Paul Ekman,ENTP,unknown,Science,Psychology & Neuroscience,-1
Alberto Dell'Isola,INTP,unknown,Science,Psychology & Neuroscience,-1
Russ Hudson,INTP,unknown,Science,Psychology & Neuroscience,-1
Lev Vygotsky,ISFJ,unknown,Science,Psychology & Neuroscience,-1
David Eagleman,ENTP,unknown,Science,Psychology & Neuroscience,-1
Albert Bandura,INTP,unknown,Science,Psychology & Neuroscience,-1
Csernus Imre,ENTJ,unknown,Science,Psychology & Neuroscience,-1
Nihan Kaya,INFJ,unknown,Science,Psychology & Neuroscience,-1
Umar Johnson,ENTJ,unknown,Science,Psychology & Neuroscience,-1
Melanie Klein,INFJ,unknown,Science,Psychology & Neuroscience,-1
Toni Wolff,INTJ,unknown,Science,Psychology & Neuroscience,-1
Rita-Levi Montalcini,ISTJ,unknown,Science,Psychology & Neuroscience,-1
Petr Bakalář,INTP,unknown,Science,Psychology & Neuroscience,-1
Jerome Bruner,INFP,unknown,Science,Psychology & Neuroscience,-1
Elizabeth Loftus,INTJ,unknown,Science,Psychology & Neuroscience,-1
Ray Birdwhistell,INTP,unknown,Science,Psychology & Neuroscience,-1
Arthur Janov,ENFJ,unknown,Science,Psychology & Neuroscience,-1
Kenneth Craik,ENTP,unknown,Science,Psychology & Neuroscience,-1
Tim Fletcher,ENTP,unknown,Science,Psychology & Neuroscience,-1
Lewis Goldberg,INTP,unknown,Science,Psychology & Neuroscience,-1
Jerome E. Singer,ISTJ,unknown,Science,Psychology & Neuroscience,-1
Carl Wernicke,ISFJ,unknown,Science,Psychology & Neuroscience,-1
Gregory Reinin,INTP,unknown,Science,Psychology & Neuroscience,-1
Helton Godwin Baynes,INTP,unknown,Science,Psychology & Neuroscience,-1
Giulio Cesare Giacobbe,ESTJ,unknown,Science,Psychology & Neuroscience,-1
Neusa Tamaio (Jardim Consciente),ENFJ,unknown,Science,Psychology & Neuroscience,-1
Darian Leader,INFJ,unknown,Science,Psychology & Neuroscience,-1
Michael Lerner (Commonweal),INTP,unknown,Science,Psychology & Neuroscience,-1
Salah Al Rashed,INTP,unknown,Science,Psychology & Neuroscience,-1
Eric Kandel,ENTP,unknown,Science,Psychology & Neuroscience,-1
Erich Neumann,INFJ,unknown,Science,Psychology & Neuroscience,-1
Victor Talanov,ISTP,unknown,Science,Psychology & Neuroscience,-1
Eve Whittle,ESFJ,unknown,Science,Psychology & Neuroscience,-1
Diana Fleischman,ENFJ,unknown,Science,Psychology & Neuroscience,-1
Giorgio Nardone,INFJ,unknown,Science,Psychology & Neuroscience,-1
Edward B. Titchener,ISTJ,unknown,Science,Psychology & Neuroscience,-1
Henri Tajfel,INTP,unknown,Science,Psychology & Neuroscience,-1
James R. Flynn,ISTJ,unknown,Science,Psychology & Neuroscience,-1
John Grinder,ISTJ,unknown,Business,Business,-1
Otto Rank,INFJ,unknown,Science,Psychology & Neuroscience,-1
Richard Bandler,ENTJ,unknown,Business,Business,-1
J.P Guilford,INTP,unknown,Science,Psychology & Neuroscience,-1
Ken Mogi,ENFP,unknown,Science,Psychology & Neuroscience,-1
Charles Schallhorn (youtube),INFJ,unknown,Science,Psychology & Neuroscience,-1
Peter Breggin,INFJ,unknown,Science,Psychology & Neuroscience,-1
Kay Redfield Jamison,INTJ,unknown,Science,Psychology & Neuroscience,-1
Haydar Dümen,ESTP,unknown,Science,Psychology & Neuroscience,-1
Faye Snyder PsyD (Doctorate),ISTJ,unknown,Science,Psychology & Neuroscience,-1
Lauren Slater,ENTP,unknown,Science,Psychology & Neuroscience,-1
Bruce Perry,ISFJ,unknown,Science,Psychology & Neuroscience,-1
Matthew Israel,INTJ,unknown,Science,Psychology & Neuroscience,-1
Martha Stout,ENFJ,unknown,Science,Psychology & Neuroscience,-1
M. Scott Peck,INTP,unknown,Science,Psychology & Neuroscience,-1
Alexander Luria,ISFJ,unknown,Science,Psychology & Neuroscience,-1
Everett Franklin Lindquist,ENTJ,unknown,Science,Psychology & Neuroscience,-1
Ulric Neisser,ISTP,unknown,Science,Psychology & Neuroscience,-1
Nick Kolenda,ENTP,unknown,Science,Psychology & Neuroscience,-1
Jean-Martin Charcot,ISTP,unknown,Science,Psychology & Neuroscience,-1
Serge Tisseron,ISFP,unknown,Science,Psychology & Neuroscience,-1
Stanislas Dehaene,ISTJ,unknown,Science,Psychology & Neuroscience,-1
Solomon Asch,ESTJ,unknown,Science,Psychology & Neuroscience,-1
John L. Holland,ENTP,unknown,Science,Psychology & Neuroscience,-1
Ecléa Bosi,INFJ,unknown,Science,Psychology & Neuroscience,-1
